"","Title","year","myGroups","gs","side","sex","numYears","minYear","maxYear","yearSpan","minimumAge","ageClass","meanMinAge","deltaMinAge","yday"
"1","1",2001,1015,3,"left","Male",3,1989,2003,15,15,"Adult",16,-1,218
"2","1",2001,1016,3,"left","Male",3,1989,2003,15,15,"Adult",16,-1,218
"3","1",2001,1018,2,"left","Male",3,1989,2003,15,15,"Adult",16,-1,218
"4","1",2003,1097,1,"left","Male",3,1989,2003,15,17,"Adult",16,1,240
"5","1",2003,1108,2,"left","Male",3,1989,2003,15,17,"Adult",16,1,240
"6","1",2003,1114,4,"left","Male",3,1989,2003,15,17,"Adult",16,1,240
"7","10",2002,1080,2,"left","Male",2,1989,2011,23,16,"Adult",20.5,-4.5,236
"8","102",2001,1022,2,"left","Male",8,1989,2019,31,15,"Adult",25.75,-10.75,242
"9","102",2002,1037,1,"left","Male",8,1989,2019,31,16,"Adult",25.75,-9.75,217
"10","102",2002,1039,3,"left","Male",8,1989,2019,31,16,"Adult",25.75,-9.75,217
"11","102",2002,1041,5,"left","Male",8,1989,2019,31,16,"Adult",25.75,-9.75,217
"12","102",2002,1056,2,"left","Male",8,1989,2019,31,16,"Adult",25.75,-9.75,217
"13","102",2002,1059,1,"left","Male",8,1989,2019,31,16,"Adult",25.75,-9.75,217
"14","102",2011,1354,5,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"15","102",2011,1377,1,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"16","102",2011,1378,4,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"17","102",2011,1401,3,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"18","102",2011,1402,1,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"19","102",2011,1423,2,"left","Male",8,1989,2019,31,25,"Adult",25.75,-0.75,234
"20","102",2013,1490,1,"left","Male",8,1989,2019,31,27,"Adult",25.75,1.25,244
"21","102",2015,1552,4,"left","Male",8,1989,2019,31,29,"Adult",25.75,3.25,166
"22","102",2015,1554,6,"left","Male",8,1989,2019,31,29,"Adult",25.75,3.25,166
"23","102",2016,1703,6,"left","Male",8,1989,2019,31,30,"Adult",25.75,4.25,204
"24","102",2016,1721,3,"left","Male",8,1989,2019,31,30,"Adult",25.75,4.25,204
"25","102",2016,1820,4,"left","Male",8,1989,2019,31,30,"Adult",25.75,4.25,204
